Fecha,Linea,KM
2019-06-04T00:00:00Z,N339,12011.175
2019-03-09T00:00:00Z,N339,10297.534
2021-12-01T00:00:00Z,LINA,24012.175
2023-09-21T00:00:00Z,N339,7091.562
2023-04-26T00:00:00Z,N339,4978.616
2020-03-19T00:00:00Z,N339,6559.861
2020-02-26T00:00:00Z,N339,7969.3
2023-09-20T00:00:00Z,N339,7322.519
2019-07-09T00:00:00Z,N339,11555.746
2019-01-02T00:00:00Z,N339,10360.052
2019-06-11T00:00:00Z,N339,12265.712
2023-04-24T00:00:00Z,N339,5514.291
2019-07-15T00:00:00Z,N339,12085.815
2020-03-03T00:00:00Z,N339,9410.882
2019-10-11T00:00:00Z,N339,11954.685
2019-07-01T00:00:00Z,N339,11629.17
2019-11-08T00:00:00Z,N339,14075.768
2023-08-11T00:00:00Z,LMAV,6889.37
2023-10-09T00:00:00Z,N339,6985.895
2023-02-03T00:00:00Z,LINA,19027.885
2019-06-02T00:00:00Z,N339,11411.406
2019-08-26T00:00:00Z,N339,12304.203
2019-03-12T00:00:00Z,N339,10494.984
2020-01-29T00:00:00Z,N339,9446.466
2023-09-24T00:00:00Z,LINA,19381.132
2019-12-09T00:00:00Z,N339,10124.816
2019-04-10T00:00:00Z,N339,11782.901
2019-09-01T00:00:00Z,359V,5752.258
2022-09-28T00:00:00Z,N339,4625.771
2019-08-29T00:00:00Z,N339,12036.214
2019-07-08T00:00:00Z,N339,11941.048
2020-03-18T00:00:00Z,N339,8590.543
2020-03-05T00:00:00Z,N339,9511.727
2019-03-15T00:00:00Z,N339,12488.914
2019-12-12T00:00:00Z,N339,8847.894
2019-10-28T00:00:00Z,N339,10801.086
2020-02-06T00:00:00Z,N339,9181.986
2019-04-11T00:00:00Z,N339,10270.774
2019-05-15T00:00:00Z,N339,10851.95
2019-11-21T00:00:00Z,N339,13602.863
2019-10-19T00:00:00Z,N339,11766.387
2023-09-08T00:00:00Z,N339,6538.723
2019-05-27T00:00:00Z,N339,11052.907
2019-12-27T00:00:00Z,N339,10406.741
2020-02-15T00:00:00Z,N339,10931.65
2019-11-27T00:00:00Z,N339,11455.24
2020-02-19T00:00:00Z,N339,9850.533
2019-07-19T00:00:00Z,N339,12127.654
2019-07-10T00:00:00Z,N339,12077.268
2020-03-17T00:00:00Z,N339,9480.692
2020-02-08T00:00:00Z,N339,9842.543
2020-01-28T00:00:00Z,N339,9246.343
2023-09-01T00:00:00Z,N339,5079.901
2023-10-30T00:00:00Z,N339,6946.802
2019-08-06T00:00:00Z,N339,12383.203
2019-06-24T00:00:00Z,N339,11330.301
2019-12-10T00:00:00Z,N339,8346.517
2019-06-23T00:00:00Z,N339,11677.197
2019-09-01T00:00:00Z,N339,11627.333
2019-12-26T00:00:00Z,N339,9185.254
2020-01-04T00:00:00Z,N339,9932.296
2019-09-24T00:00:00Z,N339,10608.136
2020-01-15T00:00:00Z,N339,8681.125
2020-02-02T00:00:00Z,N339,10948.366
2019-05-25T00:00:00Z,203I,21063.644
2019-05-25T00:00:00Z,N339,10604.574
2020-02-13T00:00:00Z,N339,9021.653
2020-12-10T00:00:00Z,203I,34410.25
2019-10-16T00:00:00Z,L339,14695.223
2019-06-17T00:00:00Z,N339,11792.523
2019-02-10T00:00:00Z,N339,10583.919
2022-05-29T00:00:00Z,203M,29551.33
2019-08-24T00:00:00Z,N339,11743.321
2019-03-17T00:00:00Z,N339,10844.108
2019-12-19T00:00:00Z,N339,8789.778
2019-06-08T00:00:00Z,N339,11062.421
2020-02-11T00:00:00Z,N339,9131.787
2019-06-30T00:00:00Z,N339,12383.297
2019-10-14T00:00:00Z,N339,11161.911
2019-11-05T00:00:00Z,N339,13708.541
2019-08-02T00:00:00Z,N339,12614.725
2019-07-04T00:00:00Z,N339,12036.247
2019-04-21T00:00:00Z,N339,11066.386
2020-02-05T00:00:00Z,N339,9095.10399999999
2019-01-30T00:00:00Z,N339,11116.248
2023-02-28T00:00:00Z,N339,4873.577
2020-01-14T00:00:00Z,N339,10020.146
2019-12-29T00:00:00Z,N339,10101.185
2019-10-13T00:00:00Z,N339,11763.848
2020-01-23T00:00:00Z,N339,8548.146
2020-02-28T00:00:00Z,N339,9966.896
2020-02-12T00:00:00Z,N339,8614.839
2019-09-14T00:00:00Z,N339,11481.149
2019-08-01T00:00:00Z,N339,12074.624
2019-09-19T00:00:00Z,N339,11052.047
2019-07-07T00:00:00Z,N339,11455.777
2019-02-19T00:00:00Z,N339,11424.44
2020-02-28T00:00:00Z,L339,13696.782
2019-10-22T00:00:00Z,N339,10025.715
2019-07-06T00:00:00Z,N339,12024.478
2019-10-23T00:00:00Z,N339,11452.271
2019-11-02T00:00:00Z,N339,12274.479
2023-07-10T00:00:00Z,N339,5846.335
2019-01-09T00:00:00Z,N339,11445.413
2020-01-12T00:00:00Z,N339,8868.419
2020-01-05T00:00:00Z,N339,9016.824
2019-06-07T00:00:00Z,N339,11381.041
2020-01-08T00:00:00Z,N339,10327.252
2019-06-10T00:00:00Z,203I,36302.87
2019-03-11T00:00:00Z,203I,32511.76
2020-03-11T00:00:00Z,N339,9586.2
2019-08-04T00:00:00Z,N339,11793.261
2019-10-06T00:00:00Z,N339,10927.783
2019-05-28T00:00:00Z,N339,8806.435
2019-12-22T00:00:00Z,N339,10440.119
2019-03-10T00:00:00Z,N339,11974.833
2019-10-29T00:00:00Z,N339,9528.754
2019-05-22T00:00:00Z,N339,10944.653
2019-08-27T00:00:00Z,N339,12238.04
2020-01-24T00:00:00Z,N339,10220.016
2019-02-18T00:00:00Z,N339,10694.236
2019-11-28T00:00:00Z,N339,11710.913
