Mes,Year,Linea,KM
1,2022,L359,166341.704
9,2019,L142,329825.435
6,2020,LIGM,20529.157
8,2022,LEXP,410620.227000001
12,2020,LEXP,242942.458
4,2021,L145/133,215900.9
10,2022,LI41,319084.65
8,2021,LEXP,284419.364
4,2020,N339,14621.994
5,2021,LEXP,236889.782
6,2020,L440,843548.599000003
10,2023,L107,208330.21
7,2020,L339,8321.42
2,2022,LEXP,305749.167
8,2022,L440,958201.019999999
4,2021,L440,888056.200000001
6,2021,LEXP,195682.227
6,2020,L107,134284.868
6,2020,L359,141360.004
2,2023,LEXP,282455.965
4,2020,359V,121762.177
4,2023,L107,193668.613
3,2019,L142,338704.772000001
10,2023,LMAV,134148.891
9,2020,LEXP,99345.949
10,2022,LEXP,348278.328
1,2023,359V,55739.149
7,2021,LEXP,243221.317
11,2023,L110,104965.254
5,2021,359V,32572.197
5,2020,LEXP,83932.75
6,2022,L440,962426.009999999
6,2021,359V,107437.783
7,2023,359V,222720.407
4,2022,LI41,362098.08
7,2021,359V,88598.6460000001
10,2023,L126,54346.776
5,2023,L130,64917.938
11,2023,359V,64819.219
10,2019,L110,249582.345
4,2019,L142,332950.768
10,2019,L315,289244.595
8,2021,LI41,335776.81
12,2019,L359,241866.216
4,2020,L440,676504.791999999
11,2022,LIGM,104433.843
12,2021,359V,76201.027
5,2023,L359,161893.151
7,2020,L315,202504.979
5,2023,359V,173201.501
2,2021,L315,172480.81
9,2020,LI41,327883.74
5,2020,L440,815867.944999999
7,2020,L107,22161.946
3,2021,L315,219865.33
7,2021,L440,888343.210000001
1,2020,L359,218970.746
1,2022,LIGM,88660.117
1,2023,L359,165327.78
9,2019,L440,1107504.236
3,2022,LIGM,127296.377
8,2023,L110,244376.844
9,2023,L315,265551.18
1,2021,LIGM,69995.8280000001
7,2019,L315,293053.899
2,2022,L359,164319.328
4,2019,L107,306658.092
7,2022,L145/133,225780.931
5,2021,L359,174102.494
2,2020,LIGM,16000.173
1,2020,L315,202703.618
10,2020,LEXP,203791.004
5,2022,LI41,376043.5
6,2022,L145/133,221823.259
3,2021,359V,73042.468
8,2023,L359,170229.231
4,2023,L103,262243.176
4,2022,359V,58949.247
6,2019,L146,177326.411
6,2023,L107,175227.191
11,2020,L339,47750.629
11,2022,L440,1025969.76
12,2019,L146,173713.202
1,2020,LIGM,60223.767
7,2023,LIGM,78278.8809999999
9,2020,L339,56008.55
3,2023,L359,184804.93
2,2023,359V,95673.146
5,2022,L145/133,219812.877
4,2021,L359,236999.694
8,2022,LIGM,113467.993
6,2023,L101,86520.774
6,2023,LIGM,78745.031
11,2022,L138,97047.3230000001
1,2019,L103,205323.053
2,2021,L440,672089.62
10,2023,L359,160997.671
3,2022,L359,212939.161
3,2023,359V,91959.8350000001
3,2019,L130,76464.8049999999
7,2022,359V,69446.67
4,2023,L143/136/137,172143.534
4,2021,359V,58841.271
12,2019,359V,267470.611
2,2021,359V,90501.6540000001
7,2023,L142,312336.536
2,2020,L440,822068.541999998
3,2021,LEXP,319280.949
4,2022,L359,200578.841
4,2023,L102/144,100270.571
10,2022,359V,57473.475
11,2021,L440,950261.03
6,2023,L145/133,202861.904
1,2019,L142,297140.561
5,2021,LI41,310419.02
5,2022,359V,72044.762
11,2019,L359,243129.455
2,2022,359V,46876.139
3,2022,LI41,370016.15
2,2020,L359,197839.436
12,2022,359V,35905.686
11,2022,359V,43891.872
6,2019,L142,325825.155
11,2020,L440,834389.310999997
2,2019,L440,827255.959000002
11,2021,LIGM,120974.774
1,2022,L440,730267.399999999
10,2020,L359,163085.839
3,2023,L315,250236
1,2019,L125,68974.0050000001
12,2021,LIGM,90404.954
3,2019,L145,170050.045
2,2022,L315,177294.89
3,2019,LI41,326016.96
10,2023,L110,236617.405
12,2019,L315,246134.582
1,2020,359V,242005.866
12,2020,LIGM,79532.2769999999
4,2023,L440,974705.909999999
4,2022,L440,959962.020000002
5,2022,L359,185767.153
11,2023,L143/136/137,78172.902
7,2020,LI41,340402.63
4,2019,L145,171772.699
2,2021,L359,184561.354
4,2023,L145/133,214050.053
5,2023,L122,233168.455
2,2019,L142,271568.412
9,2022,L440,1001639.18
12,2021,LI41,360642.12
3,2023,L138,98822.838
11,2021,LI41,350535.82
9,2020,L133,59429.514
2,2020,L133,163656.5
7,2019,L142,328262.935
4,2020,L142,223942.47
6,2021,LI41,347080.610000001
1,2020,L440,929104.683000002
5,2019,L440,1025656.154
11,2023,L359,86325.389
9,2023,L143/136/137,183974.311
6,2021,L440,834935.960000001
6,2020,LEXP,206542.561
2,2022,L440,732934.530000001
11,2020,L359,77630.994
4,2021,LIGM,101794.968
10,2022,L440,1025044.93
5,2021,LIGM,91605.5820000001
9,2020,N339,7911.449
10,2019,L142,338013.133000001
4,2023,L122,224775.879
8,2019,L146,183041.58
5,2023,L146,153453.517
11,2019,L107,204867.488
4,2019,L146,186351.747
6,2019,L315,294784.142
11,2023,L138,40363.027
2,2020,LI41,275839.29
1,2021,L142,231171.731
5,2023,L145/133,230050.441
11,2023,LIGM,39274.224
10,2023,L128,111868.382
3,2021,LIGM,103806.639
2,2019,L103,194316.916
9,2022,L315,275043.77
8,2022,L315,275813.49
8,2023,L122,241155.232
1,2020,L142,288840.846
9,2023,L440,1008669.14
9,2020,359V,65889.665
2,2021,LIGM,16672.015
2,2022,LIGM,109931.386
2,2022,LI41,283946.41
7,2022,L142,297387.315
11,2023,L103,95777.153
12,2019,L740,263000.655
10,2020,L133,115580.954
6,2020,L145,88839.204
1,2019,L143,200306.343
5,2022,L315,285677.23
8,2019,L142,335651.666
11,2019,L142,319432.091
4,2020,L359,156763.347
5,2023,L440,999756.860000004
11,2020,L740,236462.77
2,2020,L142,264266.428
9,2020,L440,833927.253999999
10,2023,L315,265365.43
11,2022,L133/125,167932.461
6,2023,L128,102708.747
8,2022,LI41,358234.36
7,2020,L740,241018.61
10,2020,L101,58366.983
8,2020,L359,153665.848
11,2022,L142,325194.700000001
4,2019,L440,1041919.789
10,2023,L103,223027.439
7,2019,L110,254931.869
10,2020,L110,170977.013
6,2019,L740,305342.309
9,2023,L142,334252.180000001
4,2023,L101,94298.716
8,2021,LIGM,101359.621
2,2020,359V,219423.429
12,2019,L142,316271.571999999
3,2021,L359,235665.366
12,2019,L143,218891.552
8,2019,L740,334687.885
8,2022,359V,45183.668
5,2020,L142,78930.8460000001
10,2019,L133,206834.216
3,2023,L440,1051998.14
3,2023,L143/136/137,175454.883
11,2020,L315,203924.31
4,2019,L110,245389.772
9,2023,L133/125,167228.141
9,2023,L101,93201.7479999999
2,2020,L110,189718.343
7,2022,L133/125,166756.228
4,2020,L315,162689.724
10,2020,L145,120825.242
1,2020,LI41,303263.809999999
6,2022,L133/125,164330.539
4,2019,L102,161312.287
9,2019,L133,200065.75
1,2022,L315,193686.93
2,2022,L740,202958.33
7,2019,L102,143877.311
6,2020,L143,133002.913
11,2020,L110,108916.049
10,2020,L102,38940.589
8,2019,L110,262126.071
4,2023,L146,147100.193
12,2021,L359,179683.914
4,2021,LI41,316503.12
12,2020,L145,126551.441
6,2019,L110,242357.288
2,2023,L133/125,122225.115
5,2019,L110,250019.887
4,2019,L359,290877.892
7,2023,L133/125,166590.912
2,2019,L110,205323.16
10,2023,L145/133,228047.891
3,2019,L110,247536.573
5,2023,L142,329464.073
7,2021,LIGM,92797.286
12,2020,L110,175319.871
6,2023,L440,1000752.9
10,2020,L440,844315.378000002
2,2023,L359,120149.308
4,2023,L138,96132.9790000001
4,2020,LI41,211787.53
5,2019,L101,121964.047
4,2020,L143,147772.445
4,2022,L315,291776.58
11,2023,L145/133,99062.3720000001
9,2021,359V,67728.718
9,2020,L102,19864.919
5,2020,L145,30576.536
8,2023,L142,329461.972
11,2020,L145,78398.633
4,2022,LIGM,116191.842
1,2019,L110,214076.907
6,2020,L110,127293.279
3,2020,L102,74694.3119999999
1,2023,L440,844611.77
8,2020,L440,842090.984000001
8,2019,L102,104760.108
11,2019,L110,236203.878
7,2019,L129,83916.0099999999
11,2020,L133,72450.6430000001
10,2021,LI41,358112.747
5,2019,L146,178226.425
3,2020,L145,132917.613
10,2023,LIGM,38574.7790000001
12,2019,L145,149590.747
11,2019,L133,195866.842
12,2020,L102,39009.981
12,2019,L110,226027.817
4,2020,L101,57411.708
8,2019,L101,127462.69
11,2020,L103,120165.477
12,2021,L440,936228.310000002
8,2019,L129,85331.276
2,2021,L110,163509.41
6,2022,LI41,356182.660000001
9,2019,L110,249017.236
9,2021,LI41,344873.54
12,2020,L359,212144.001
2,2023,LI41,243830.43
5,2021,L145/133,163579.1
12,2022,L440,921526.439999999
2,2021,L103,171038.899
1,2021,L102,28233.475
5,2020,L143,51971.161
4,2020,L145,85036.1530000001
5,2020,L102,14771.725
7,2020,LIGM,61813.406
2,2022,L110,163313.952
6,2023,L146,138687.263
9,2022,L133/125,170495.479
10,2022,L315,265887.06
12,2022,L133/125,148532.224
7,2019,L133,77157.648
3,2019,L440,1081937.513
12,2019,LI41,390816.610000001
6,2021,LIGM,96914.706
1,2022,L110,179946.456
1,2022,L133/125,119863.802
3,2021,L142,268951.239
4,2019,L101,119875.095
1,2021,L133/125,45535.434
7,2019,L101,118444.946
10,2023,L440,998089.18
4,2022,L740,270580.28
3,2020,L110,197360.139
4,2020,L110,134144.828
3,2019,L143,221283.816
6,2023,L110,210600.516
9,2021,L110,224918.877
1,2019,L129,75684.495
5,2020,L133,40229.291
1,2023,LI41,273233.07
2,2019,L143,180906.533
6,2022,L110,224501.424
10,2023,L142,329470.149
11,2020,L102,23375.812
8,2021,L110,211407.021
3,2020,LI41,297046.68
10,2020,L129,52734.535
5,2023,L133/125,166455.431
8,2023,L138,100332.571
1,2021,L145,88834.775
6,2023,L133/125,148257.781
1,2021,L110,165769.951
9,2022,LI41,333065.03
10,2022,L133/125,150158.178
7,2022,LI41,347382.860000001
10,2022,LIGM,89520.5780000001
6,2019,L101,116058.142
5,2022,L133/125,155327.83
7,2022,L110,224910.857
5,2020,L315,188893.93
5,2019,L143,219947.902
4,2021,L110,193428.676
5,2021,L110,141496.495
8,2022,L110,244003.166
7,2023,L440,971583.150000003
9,2019,L143,226630.904
4,2019,L315,295066.409
3,2021,L110,203729.233
11,2020,LEXP,91278.124
3,2020,L143,193771.325
11,2023,L133/125,70389.4529999999
4,2021,L315,231998.6
2,2020,L107,176971.205
11,2019,L143,218967.705
10,2020,LI41,312979.9
10,2020,L740,250997.3
7,2019,LIGM,32726.037
3,2021,L145/133,218171.521
1,2022,LI41,286468.060000001
9,2022,L142,314532.521999999
1,2020,L110,212595.879
3,2020,L129,71694.442
8,2019,L143,231484.915
1,2019,LI41,287749.6
8,2020,L740,238032.32
3,2019,L129,85069.109
6,2019,L107,295936.251000001
9,2020,L129,28413.022
3,2022,L110,225923.895
10,2021,L110,210339.166
12,2020,L133,129076.687
9,2019,LI41,356485.51
6,2022,L315,277970.76
11,2022,LI41,320959.790000001
10,2019,LI41,391896.24
6,2019,L143,213463.341
11,2019,L129,79201.835
4,2020,L129,51402.989
4,2021,L133/125,182822.351
2,2020,L129,70641.3390000001
3,2019,L128,141411.459
1,2020,L143,206298.343
8,2020,L129,48669.321
5,2020,L359,54870.809
3,2019,L101,115806.722
7,2019,L107,271055.953
8,2023,L315,283677.22
6,2019,L129,81275.349
4,2019,L143,218353.675
9,2020,L110,66601.985
11,2020,L129,33178.149
2,2023,LIGM,79196.603
6,2020,L133,107132.147
2,2019,L102,125954.745
11,2023,L142,145974.728
2,2020,L143,186157.157
11,2022,L145/133,228998.939
7,2022,L122,221081.686
2,2022,L142,215783.497
9,2020,L359,81927.195
12,2022,LIGM,73671.4980000001
10,2019,L143,229907.913
11,2021,L315,188186.27
10,2021,L128,104429.216
1,2023,L142,275767.197
4,2019,L129,79758.257
2,2023,L440,744413.599999998
5,2020,L110,44344.882
3,2020,L315,235138.085
8,2023,L440,1019231.61
2,2020,L145,129716.385
4,2019,L128,139563.126
12,2022,L142,293480.642
12,2020,L129,55964.3899999999
9,2019,L129,83551.054
8,2021,359V,75966.947
