Mes,Year,Linea,LTS
12,2020,L102,16399.97
2,2020,L143,95003.4100000001
8,2019,L103,105287.6
8,2019,L128,64614.95
3,2020,L145,59824.82
4,2021,L359,94781.28
3,2021,L359,99992.41
2,2021,L359,78204.41
11,2020,359V,16913.36
11,2020,L359,27247.66
10,2020,L359,59517.34
9,2020,L359,28455.57
8,2020,L359,52819.19
7,2020,L359,6164.88
6,2020,L359,52983.28
6,2020,359V,46756.97
5,2020,L359,18540.78
4,2020,L359,55046.31
3,2020,L359,90566.5899999999
3,2020,LMAV,64203.17
2,2020,LMAV,70963.41
1,2020,LMAV,78211
1,2020,L359,100639.33
12,2019,L359,111644.14
10,2019,L359,110197.53
9,2019,L359,111528.58
8,2019,L359,123943.22
7,2019,L359,121094.91
6,2019,L359,121390.59
4,2019,L359,122753.28
4,2019,LIGM,25022.23
3,2019,L359,123466.56
2,2019,L359,103110.45
1,2019,L359,116783.73
11,2023,L133/125,30515.26
10,2023,L133/125,69363.17
9,2023,L101,42623.48
8,2023,L101,46164.12
8,2023,L110,114521.06
6,2023,L110,99728.5499999999
6,2023,L133/125,62316.01
5,2023,L133/125,70211.61
5,2023,L110,111006.43
2,2022,L103,80313.06
2,2021,L101,21905.76
11,2020,L101,13774.92
4,2020,L129,18950.74
3,2020,L102,36276.53
3,2019,L110,115475.41
11,2022,LIGM,35820.1
10,2022,LIGM,29908.74
9,2022,LIGM,40651.89
8,2022,LIGM,37091.29
7,2022,LIGM,33488.88
6,2022,LIGM,36574.49
5,2022,LIGM,35996.64
5,2022,LMAV,65200.73
5,2022,LEXP,160414.07
4,2022,LIGM,38510.87
3,2022,LIGM,43221.37
2,2022,LIGM,36718.39
1,2022,LIGM,30263.4
12,2021,LIGM,32724.81
11,2021,LIGM,38799.17
11,2021,LEXP,164072.8
4,2021,359V,25916.03
4,2021,LIGM,35104.29
3,2021,LIGM,36268.17
2,2021,LIGM,6194.79
2,2021,LMAV,41429.14
1,2021,LIGM,26141.98
12,2020,LIGM,26361.7
2,2020,L359,90262.5499999999
2,2020,359V,102670.54
11,2023,L110,50366.28
10,2023,L101,42876.86
9,2023,L133/125,69253.9799999999
2,2019,L110,94135.3999999999
1,2019,L110,104898.95
2,2021,L130,135.5
2,2020,L145,65569.46
1,2020,L145,70682.52
11,2019,L145,75964.68
10,2019,L145,76547.23
2,2019,L128,46359.19
8,2020,L101,16341.61
7,2020,L145,4418.08
6,2020,L145,34045.51
4,2020,L125,12205.16
9,2019,L145,77274.2600000001
1,2022,L103,81001.9500000001
7,2021,L110,82309.28
10,2020,L101,20737.34
10,2020,359V,51044.41
9,2020,L101,10123.53
9,2020,L102,6199.52
8,2020,L102,10737.89
7,2020,L129,2153.87
5,2020,L143,17403.44
5,2020,359V,14877.62
3,2020,359V,101160.94
10,2021,LIGM,37203.65
9,2021,LIGM,40531.62
8,2021,LIGM,34095.21
7,2021,LIGM,35080.35
6,2021,LIGM,35332.43
5,2021,LIGM,29563.73
1,2021,LMAV,42790.96
12,2020,L359,82116.39
11,2020,LIGM,24969.33
10,2020,LIGM,29628.13
9,2020,LIGM,35108.55
8,2020,LIGM,29306.21
7,2020,LIGM,20723.97
6,2020,LIGM,8612.15
3,2020,LIGM,10252.95
11,2019,LIGM,26519.66
10,2019,LIGM,31175.03
9,2019,LIGM,17619.49
8,2019,LIGM,25964.35
7,2019,LIGM,10719.39
6,2019,LIGM,18458.08
5,2019,LIGM,28448.54
3,2019,LIGM,23931.88
2,2019,LIGM,21409.57
1,2019,LIGM,25788.66
4,2023,LEXP,157616.9
3,2023,LEXP,193144.21
3,2023,L359,88191.9300000001
2,2023,LEXP,136567.4
2,2023,L359,57423.73
1,2023,LEXP,162001.29
1,2023,L359,78221.82
12,2022,LEXP,185670.22
4,2022,LEXP,162558.41
3,2022,LEXP,181072.06
