Mes,Year,Linea,LTS,KM,Consumo
6,2020,L142,76436.2500000001,203352.102,37.5881287915086
6,2020,L107,54440.48,146836.556,37.0755631179472
6,2020,L146,37339.8400000001,108360.213,34.4589946496322
5,2020,L146,12993.01,37255.533,34.8753834765967
4,2020,L146,42262.31,116685.349,36.2190372332006
3,2020,L146,60717.75,151751.993,40.0111713854065
2,2020,L146,67032.5,157881.538,42.4574657994527
2,2020,L107,90190.2499999999,188604.483,47.8197806146527
1,2020,L146,69065.3199999999,173489.19,39.8095812194407
1,2020,L142,149165.11,302348.925,49.3354193338044
12,2019,L146,66406.3299999999,172950.968,38.3960441319993
12,2019,L102,41768.61,81177.41,51.4534893389676
11,2019,L102,45424.53,94761.6540000001,47.9355605169154
10,2019,L102,43806.91,104159.54,42.057511006673
9,2019,L102,43321.26,107287.67,40.378600821511
8,2019,L102,45786.42,112043.431,40.8648856888362
7,2023,L107,93764.7500000002,198852.483,47.1529188800726
6,2023,L103,95119.3,226512.846,41.9928943014561
6,2023,L101,41308.85,89497.479,46.1564397808345
6,2023,L146,61361.4400000001,139559.073,43.9680765148104
5,2023,L101,45094.72,98304.9459999999,45.8722799156007
5,2023,L102/144,48364.7,105035.351,46.0461164165577
5,2023,L140,50078.14,113257.908,44.2160206596787
4,2023,L146,64424.54,147761.536,43.6003453564532
4,2023,L142,142077.05,315376.401,45.0499940862729
3,2023,L107,100926.85,204734.93,49.2963511404722
3,2023,L138,50677.28,104352.943,48.5633452618581
11,2022,L140,53478.5,115073.765,46.4732339295581
11,2022,L138,47199.6,100481.249,46.973540307008
11,2022,L101,48831.25,99997.989,48.8322320161858
11,2022,L126,26295.06,56887.437,46.2229648349247
9,2022,L126,25880.43,56688.985,45.6533663462135
8,2022,L143/136/137,87847.4699999999,185857.799,47.2659584223312
8,2022,L103,102508.24,212067.571,48.3375367184264
8,2022,L138,44658.49,101487.417,44.0039675066319
6,2022,L128,51848.6,105415.836,49.1848302564332
6,2022,L140,50232.02,102535.293,48.9899804548274
6,2022,L102/144,47179.81,98429.834,47.9324286983964
4,2022,L142,124060.63,277235.662,44.7491600124661
2,2022,L130/146,55724.85,113280.37,49.1919738609611
12,2021,L130/146,71771.5900000001,145014.503,49.4926979820771
11,2021,L130/146,70566.9400000001,157385.681,44.8369505736676
9,2021,L101,37572.19,88074.404,42.6596017612564
8,2021,L145/133,98426.4899999999,219502.936,44.8406257308558
7,2021,L128,41998.19,73801.184,56.9072035483875
7,2021,L145/133,90552.3300000001,175963.737,51.4607904695728
6,2021,L101,24771.61,54097.937,45.7903043511622
1,2021,L130,13821.73,28420.007,48.6338022365723
12,2020,L130,18490.29,44419.396,41.626612842732
12,2020,L128,38412.51,89786.54,42.7820361492937
11,2020,L130,9346.93999999999,23799.931,39.2729710014705
11,2020,L103,49019.41,129364.279,37.8925390988342
10,2020,L103,72299.01,193231.694,37.4157098679681
8,2020,L130,15588.67,37008.755,42.1215736654746
7,2020,L130,1879.9,5052.968,37.2038770085225
2,2020,L144,26513.03,56150.397,47.2178852092533
11,2023,L143/136/137,36960.41,79595.179,46.4354882599109
10,2023,L143/136/137,86138.7399999999,186391.861,46.2137882726542
10,2023,L145/133,108265.15,232583.671,46.5489041145972
10,2023,L146,67892.81,155827.332,43.5692565152819
9,2023,L146,67180.26,154457.934,43.4942111811492
9,2023,L143/136/137,87601.6400000001,187327.461,46.7639071881726
9,2023,L126,23951.24,56460.489,42.421240807886
9,2023,L145/133,108102.78,230806.468,46.8369803224058
8,2023,L145/133,113727.18,242150.031,46.9655855629439
8,2023,L107,100347.37,212229.201,47.2825461940085
8,2023,L142,153107.66,334366.763000001,45.7903347289335
8,2023,L146,70208.6400000001,160820.476,43.6565304035041
8,2023,L126,26451.12,60797.1070000001,43.5072017489253
8,2023,L122,112394.03,244698.938,45.9315561067127
7,2023,L126,23874.97,55656.912,42.8966846022647
7,2023,L122,106894.98,237501.962,45.008040817785
7,2023,L138,42572,95798.573,44.4390753085644
7,2023,L140,48152.82,109416.792,44.0086198103853
7,2023,L145/133,105146.04,226843.67,46.3517628682343
6,2023,L145/133,95602.01,202882.777,47.121796839364
6,2023,L126,21603.54,51013.465,42.3487014653876
5,2023,L122,108500.07,236681.484,45.8422298890099
