Semana,Linea,LTS
2020-01-12,L125,7062.44
2020-01-05,L125,7797.65
2019-12-29,L125,6124.69
2019-12-22,L125,6094.58
2019-12-15,L125,7937.85
2019-12-08,L125,9572.32
2019-12-01,L125,8774.79
2019-11-24,L125,8908.66
2019-11-17,L125,9097.31
2019-11-10,L125,7314.68000000001
2019-11-03,L125,7915.83
2019-10-27,L125,8701.49
2019-10-20,L125,8047.15
2019-10-13,L125,7624.81
2019-10-06,L125,7401.42
2019-09-29,L125,8087.69000000001
2019-09-22,L125,8083.59
2019-09-15,L125,8490.4
2019-09-08,L125,6998.46
2019-09-01,L125,8679.72
2019-08-25,L125,7888.02
2019-08-18,L125,7768.37
2019-08-11,L125,8167.09
2019-08-11,L130,9538.7
2019-08-04,L125,7884.98
2019-07-28,L125,8607.77
2019-07-21,L125,8257.72
2019-07-14,L125,7440.31
2019-07-07,L125,6019.42
2019-06-30,L125,8567.16
2019-06-23,L125,8243.33
2019-06-09,L125,7980.53
2019-06-02,L125,8984.91
2019-05-26,L125,6799.82
2019-05-19,L125,7804.62
2019-05-19,L130,8810.68
2019-05-12,L125,8118.27
2019-05-05,L125,7809.2
2019-04-28,L125,7037.56
2019-04-21,L125,7801.04
2019-04-14,L125,7090.6
2019-04-07,L125,7919.53
2019-03-31,L125,7703.46
2019-03-24,L125,7430.94
2019-03-03,L125,5484.44
2019-03-03,L129,9244.89
2019-02-24,L125,7073.75
2019-02-17,L125,7629.8
2019-01-27,L125,6635.11
2023-05-28,L143/136/137,19622.84
2023-05-28,L142,36378.84
2023-05-14,L107,23131.44
2023-05-14,L126,6081.85
2023-05-14,L128,12590.63
2023-05-14,L143/136/137,19766.26
2023-05-07,L143/136/137,21087.55
2023-05-07,L107,22657.87
2023-04-30,L107,19890.73
2023-04-23,L126,5671.67
2023-04-23,L145/133,25662.24
2023-04-16,L140,12375.34
2023-04-09,L140,12219.67
2023-04-09,L102/144,11425.37
2023-04-02,L102/144,9579.91
2023-03-26,L102/144,11374.15
2023-03-19,L143/136/137,17979.65
2023-03-19,L122,23316.3
2023-03-12,L101,41065.36
2023-03-12,L130,7571.59
2023-03-05,L101,39360.25
2023-02-26,L128,12422.37
2023-02-26,L110,25876.71
2023-01-22,L110,19971.67
2023-01-15,L110,25304.62
2023-01-08,L110,23453.65
2023-01-08,L130/146,14586.65
2023-01-01,L143/136/137,17253.73
2022-11-27,L143/136/137,20095.54
2022-11-13,L143/136/137,21623.67
2022-11-06,L143/136/137,19500.99
2022-10-30,L142,35364.68
2022-10-30,L103,25409.44
2022-10-23,L140,12228.32
2022-10-16,L140,12254.48
2022-10-16,L138,10271.68
2022-10-09,L110,15363.92
2022-10-02,L110,24656.87
2022-10-02,L101,9367.04
2022-09-25,L101,10826.23
2022-09-25,L140,12034.34
2022-09-25,L130/146,17811.47
2022-09-18,L130/146,16094.06
2022-09-18,L110,27499.52
2022-09-18,L101,10571.07
2022-09-11,L107,24506.3
2022-09-11,L102/144,12306.17
2022-09-04,L143/136/137,19749
2022-09-04,L102/144,12026.5
2022-08-28,L142,31175.54
2022-08-21,L107,23243.49
2022-08-21,L130/146,17289.63
2022-08-14,L107,21421.9
2022-08-14,L140,11033.28
2022-08-07,L140,11953.08
2022-08-07,L142,33649.66
2022-08-07,L107,23293.14
2022-07-31,L142,33327.22
2022-07-31,L130/146,16791.51
2022-07-24,L142,33810.66
2022-07-10,L110,24160.05
2022-07-03,L133/125,17141.09
2022-06-05,L110,26151.12
2022-05-29,L133/125,16156.17
2022-05-08,L102/144,11135.92
2022-05-01,L133/125,16823.98
2022-04-24,L133/125,14986.12
2022-03-27,L128,12468.64
2022-03-13,L133/125,16270.46
2022-03-13,L143/136/137,20337.89
2022-02-27,L145/133,20893.1
2022-02-27,L107,17725.43
2022-02-13,L107,17809.05
2022-02-13,L102/144,8262.25
2022-02-06,L102/144,8461.91
2022-01-30,L102/144,7981.05
2022-01-16,L102/144,7984.56
2021-12-26,L128,10351.33
2021-12-19,L128,10966.18
2021-12-05,L143/136/137,18800.39
2021-12-05,L110,23382.79
2021-11-07,L102/144,12219.11
2021-11-07,L142,32369.28
2021-11-07,L143/136/137,18893.3
2021-10-31,L102/144,11965.69
2021-10-24,L142,30682.49
2021-10-17,L103,22906.19
2021-10-17,L102/144,12381.18
2021-10-10,L102/144,11068.18
2021-10-03,L102/144,11973.24
2021-09-12,L145/133,24539.35
2021-09-12,L128,11254.56
2021-09-05,L128,11219.85
2021-08-22,L133/125,15421.26
2021-08-22,L128,11294.74
2021-08-15,L128,9327.86
2021-08-08,L133/125,15228.48
2021-08-08,L128,10869.05
2021-08-01,L128,10644.05
2021-07-25,L133/125,15307.72
2021-07-18,L133/125,14203.99
2021-06-27,L133/125,15573.47
2021-06-27,L130/146,13780.48
2021-06-20,L133/125,13962.92
2021-06-13,L133/125,14928.7
2021-06-06,L133/125,13902.82
2021-05-30,L133/125,14486.25
2021-05-23,L133/125,8700.4
2021-05-16,L133/125,9431.08
2021-05-09,L133/125,15113.07
2021-05-02,L133/125,17395.39
2021-04-25,L133/125,17707.25
2021-04-18,L133/125,17960.43
2021-04-11,L133/125,17887.56
2021-04-04,L133/125,18102.92
2021-03-28,L143/136/137,16809.58
2021-03-14,L133/125,17649.78
2021-01-31,L133/125,17912.2
2021-01-24,L143/136/137,17063.51
2021-01-24,L129,1073.36
2020-12-20,L129,5336.4
2020-12-13,L103,21076.97
2020-11-22,L125,3576.41
2020-11-01,L125,3590.38
2020-10-25,L125,3316.13
2020-10-04,L129,4293.9
2020-09-13,L129,4334.66
2020-08-23,L129,2778.11
2020-03-08,L144,8702.42
2020-03-01,L144,8653.56
2020-02-16,L125,6964.88
2019-12-29,L143,19587.52
2019-12-22,L145,13570.81
2019-12-22,L129,8176.56
2019-12-15,L144,7432.24
2019-12-15,L129,10410.37
2019-12-01,L130,8964.34
2019-11-24,L128,16207.09
2019-11-17,L144,6783.64
2019-11-10,L144,8101.17
2019-11-03,L144,8594.07
2019-10-27,L144,8289.18
2019-10-20,L144,7167.94
2019-10-13,L144,6912.47
2019-10-06,L144,7678.1
2019-09-29,L144,7341.31
2019-09-22,L144,8620.89
2019-09-15,L144,7938.54
2019-09-08,L144,7370.04
2019-09-01,L130,8779.68
2019-08-25,L130,9555.13
2019-08-04,L130,9132.94
2019-07-28,L130,9418.64
2019-07-21,L129,9164.92
2019-03-03,L143,20733.12
2019-02-03,L144,5169.6
2019-01-13,LI41,35691.74
2023-07-09,L130,7294.45
2023-07-02,L130,7412.52
2023-06-18,L130,4553.02
2023-06-11,L130,6134.72
2023-05-28,L103,24294.81
2023-04-09,L101,11698.9
2023-04-02,L101,9318.09
2023-03-26,L122,25824.61
2023-03-19,L126,4841.18
2023-03-05,L126,4961.55
2023-02-26,L101,17875.31
2023-02-05,L143/136/137,19733.59
2023-01-08,L143/136/137,17594.72
2022-12-25,L143/136/137,17345.06
2022-12-25,L103,21749.7
2022-12-18,L143/136/137,18887.49
2022-12-11,L143/136/137,19826.3
2022-12-04,L145/133,21998.75
2022-12-04,L143/136/137,17156.84
2022-11-27,L130/146,18726.96
2022-11-20,L130/146,16511.58
2022-11-13,L130/146,18533.98
2022-11-06,L130/146,18518.31
2022-10-30,L130/146,17968.38
2022-10-23,L145/133,25636.08
2022-10-23,L122,26596.98
2022-10-16,L142,35253.75
2022-10-16,L130/146,18164.35
2022-10-09,L130/146,9956.22
2022-10-02,L130/146,15462.44
2022-09-11,L130/146,18628.14
2022-09-04,L130/146,17629.63
2022-08-28,L130/146,15529.15
2022-08-14,L130/146,15672.58
2022-08-07,L130/146,16598.49
2022-08-07,L102/144,10993.59
2022-07-24,L130/146,16917.1
2022-07-17,L130/146,14383.58
2022-07-10,L130/146,14816.52
2022-07-03,L130/146,16415.51
2022-07-03,L110,25996.04
2022-06-26,L130/146,17406.5
2022-06-19,L130/146,15673.33
2022-06-19,L142,28886.54
2022-06-12,L130/146,15329.9
2022-06-05,L103,24142.4
2022-05-29,L143/136/137,19168.05
2022-05-29,L102/144,11633.52
2022-05-22,L128,11103.84
2022-05-15,L107,16556.62
2022-05-15,L130/146,12447.99
2022-05-08,L130/146,17815.36
2022-05-01,L130/146,17374.9
2022-04-10,L143/136/137,17433.67
2022-04-03,L143/136/137,20781.28
2022-04-03,L102/144,11681.79
2022-03-27,L102/144,11242.2
2022-03-13,L102/144,12200.92
2022-02-13,L143/136/137,16384.31
2022-02-06,L143/136/137,15209.77
2022-01-30,L143/136/137,15297.27
2022-01-23,L143/136/137,15902.92
2022-01-23,L145/133,20338.76
2022-01-16,L145/133,20944.88
2022-01-09,L145/133,19300.27
2021-12-26,L145/133,19953.55
2021-12-19,L145/133,24420.29
2021-12-12,L145/133,26840.34
2021-12-05,L145/133,23924.86
2021-11-28,L145/133,26070.68
2021-11-07,L145/133,26258.9
2021-10-31,L145/133,24912.19
2021-10-24,L145/133,26827.47
2021-10-17,L145/133,25656.85
2021-10-10,L145/133,22176.77
2021-10-03,L103,21270.33
2021-09-26,L133/125,15908.05
2021-09-19,L133/125,16140
2021-09-12,L102/144,12729.31
2021-09-12,L133/125,16622.48
2021-09-05,L145/133,24128.07
2021-09-05,L143/136/137,17246.58
2021-08-22,L143/136/137,17566.05
2021-08-15,L133/125,14540.93
2021-08-01,L133/125,15081.39
2021-07-11,L130/146,13669.4
2021-06-20,L145/133,18634.42
2021-06-13,L145/133,20061.37
2021-06-13,L103,19494.46
2021-05-30,L128,8946.51
2021-05-16,L128,6615.83
2021-02-14,L130/146,14487.07
2021-02-07,L130/146,16717.18
2021-01-31,L130/146,14621.54
2021-01-31,L103,19146.71
2021-01-31,L143/136/137,18207.75
2021-01-31,L110,19288.88
2021-01-24,L110,19407.51
2021-01-24,L130/146,13584.19
2021-01-17,L145,12490.07
2021-01-10,L145,11320.38
2021-01-03,L145,11507.15
2020-12-27,L145,11146.23
2020-12-20,L145,11021.15
2020-12-13,L145,12824.93
2020-06-14,L130,3730.3
2020-03-15,L130,6851.14
2020-03-08,L130,9056.52
2020-03-01,L130,9274.69
2020-02-23,L130,6446.27
2020-02-16,L130,7532.56
2020-02-09,L130,7865.18
2019-11-10,L130,9332.7
2019-11-03,L130,9109.16
2019-11-03,L143,25256.55
2019-10-27,L130,9159.34
2019-10-20,L130,7740.8
2019-10-13,L130,7955.47
2019-10-06,L130,8610.75
2019-09-29,L130,9218.76
2019-09-22,L130,8591.85
2019-09-15,L130,9239.77
2019-09-08,L130,7450.43
2019-08-18,L130,9134.88
2019-07-14,L130,8113.68
2019-07-07,L130,6907.27
2019-06-30,L130,9072.41
2019-06-23,L130,9101.77000000001
2019-06-16,L130,7315.31
2019-06-09,L130,9310.8
2019-06-02,L130,8697.86
2019-05-26,L130,7396.96
2019-05-12,L130,9425.07
2019-05-05,L130,8688.29
2019-04-28,L130,7904.75
2019-04-21,L130,8929.37
2019-03-31,L130,8841.21
2021-01-03,L146,9859.45
2020-12-27,L146,9851.05
2020-12-27,L142,22197.96
2020-12-20,L142,23691.71
2020-12-13,L142,26264.02
2020-12-06,L142,22647.33
2020-11-29,L146,10598.27
2020-11-22,L146,10950.9
2020-11-08,L146,3951.18
2020-11-01,L146,10730.99
2020-11-01,L107,14369.41
2020-10-25,L146,10813.61
2020-10-18,L146,12668.78
2020-10-11,L146,10637.65
2020-10-04,L146,9730.59
2020-09-27,L146,9188.25
2020-09-20,L146,6254.2
2020-09-13,L146,8793.23
2020-08-23,L146,6202.57
2020-08-16,L146,8107.87
2020-08-09,L146,10681.03
2020-08-02,L146,11124.14
2020-08-02,L142,23396.19
2020-07-26,L142,7431.74
2020-06-28,L142,13935
2020-06-28,L107,10037.76
2020-06-21,L107,13263.59
2020-06-21,L142,17406.76
2020-06-14,L107,12988.56
2020-06-14,L146,8335.27
2020-06-07,L146,10077.27
2020-05-31,L146,6208.75
2020-05-10,L146,1208.59
2020-05-03,L146,9676.06
