Semana,des_lin,Cantidad_Pasajeros
2019-03-03T00:00:00Z,PILAR 203,312910
2019-03-03T00:00:00Z,CN33/9,16691
2019-03-03T00:00:00Z,EXPRESO,86806
2019-03-03T00:00:00Z,CP25 A,20781
2019-03-03T00:00:00Z,C AZUL,14329
2019-03-03T00:00:00Z,35/9,64389
2019-03-03T00:00:00Z,LINEA A,65556
2019-03-03T00:00:00Z,MORENO 203,422078
2019-03-03T00:00:00Z,CP33/9,39065
2019-03-03T00:00:00Z,103,95420
2019-03-03T00:00:00Z,143,73318
2019-03-03T00:00:00Z,125,21806
2019-03-03T00:00:00Z,41,207788
2019-03-03T00:00:00Z,110,91827
2019-03-03T00:00:00Z,C NEGRA,16920
2019-03-03T00:00:00Z,128,52079
2019-03-03T00:00:00Z,145,57312
2019-03-03T00:00:00Z,146,65803
2019-03-03T00:00:00Z,142,102492
2019-03-03T00:00:00Z,144,29440
2019-03-03T00:00:00Z,102,46055
2019-03-03T00:00:00Z,101,34209
2019-03-03T00:00:00Z,130,29002
2019-03-03T00:00:00Z,129,24379
2019-03-03T00:00:00Z,RINCÓN,71681
2019-03-03T00:00:00Z,35/9 V,79523
2019-03-03T00:00:00Z,VILLA CONS,2073
2019-03-03T00:00:00Z,FABRICA,159
2019-03-03T00:00:00Z,C ROJA,181
2019-03-10T00:00:00Z,107,153608
2019-03-10T00:00:00Z,315,147267
2019-03-10T00:00:00Z,440,606055
2019-03-10T00:00:00Z,740,221233
2019-03-10T00:00:00Z,PILAR 203,371262
2019-03-10T00:00:00Z,CN33/9,19343
2019-03-10T00:00:00Z,EXPRESO,112852
2019-03-10T00:00:00Z,CP25 A,30187
2019-03-10T00:00:00Z,C AZUL,22365
2019-03-10T00:00:00Z,35/9,94073
2019-03-10T00:00:00Z,LINEA A,82334
2019-03-10T00:00:00Z,CP33/9,54417
2019-03-10T00:00:00Z,MORENO 203,513515
2019-03-10T00:00:00Z,103,137429
2019-03-10T00:00:00Z,143,106414
2019-03-10T00:00:00Z,125,34811
2019-03-10T00:00:00Z,41,277540
2019-03-10T00:00:00Z,110,135857
2019-03-10T00:00:00Z,C NEGRA,28371
2019-03-10T00:00:00Z,128,77898
2019-03-10T00:00:00Z,145,90795
2019-03-10T00:00:00Z,146,93687
2019-03-10T00:00:00Z,142,145269
2019-03-10T00:00:00Z,144,50778
2019-03-10T00:00:00Z,102,75787
2019-03-10T00:00:00Z,101,57663
2019-03-10T00:00:00Z,130,46666
2019-03-10T00:00:00Z,129,37281
2019-03-10T00:00:00Z,RINCÓN,107695
2019-03-10T00:00:00Z,35/9 V,116036
2019-03-10T00:00:00Z,VILLA CONS,4774
2019-03-10T00:00:00Z,FABRICA,295
2019-03-10T00:00:00Z,C ROJA,716
2019-03-17T00:00:00Z,107,160588
2019-03-17T00:00:00Z,315,152998
2019-03-17T00:00:00Z,440,607807
2019-03-17T00:00:00Z,740,230538
2019-03-17T00:00:00Z,PILAR 203,376639
2019-03-17T00:00:00Z,CN33/9,20538
2019-03-17T00:00:00Z,EXPRESO,116524
2019-03-17T00:00:00Z,CP25 A,32336
2019-03-17T00:00:00Z,C AZUL,23587
2019-03-17T00:00:00Z,35/9,99475
2019-03-17T00:00:00Z,LINEA A,83198
2019-03-17T00:00:00Z,CP33/9,56053
2019-03-17T00:00:00Z,MORENO 203,516587
2019-03-17T00:00:00Z,103,141065
2019-03-17T00:00:00Z,143,110255
2019-03-17T00:00:00Z,125,36068
2019-03-17T00:00:00Z,41,276778
2019-03-17T00:00:00Z,110,143784
2019-03-17T00:00:00Z,C NEGRA,29039
2019-03-17T00:00:00Z,128,81631
2019-03-17T00:00:00Z,145,92920
2019-03-17T00:00:00Z,146,96828
2019-03-17T00:00:00Z,142,154181
2019-03-17T00:00:00Z,144,53706
2019-03-17T00:00:00Z,102,79072
2019-03-17T00:00:00Z,101,61359
2019-03-17T00:00:00Z,130,48371
2019-03-17T00:00:00Z,129,40754
2019-03-17T00:00:00Z,RINCÓN,111984
2019-03-17T00:00:00Z,35/9 V,120555
2019-03-17T00:00:00Z,VILLA CONS,5470
2019-03-17T00:00:00Z,FABRICA,299
2019-03-17T00:00:00Z,C ROJA,1056
2019-03-24T00:00:00Z,107,148121
2019-03-24T00:00:00Z,315,140731
2019-03-24T00:00:00Z,440,591412
2019-03-24T00:00:00Z,740,227970
2019-03-24T00:00:00Z,PILAR 203,373317
2019-03-24T00:00:00Z,CN33/9,20104
2019-03-24T00:00:00Z,CP25 A,30999
2019-03-24T00:00:00Z,C AZUL,21959
2019-03-24T00:00:00Z,35/9,94874
2019-03-24T00:00:00Z,LINEA A,83661
2019-03-24T00:00:00Z,CP33/9,54894
2019-03-24T00:00:00Z,MORENO 203,522287
2019-03-24T00:00:00Z,103,132592
2019-03-24T00:00:00Z,143,103071
2019-03-24T00:00:00Z,125,31841
2019-03-24T00:00:00Z,41,287696
2019-03-24T00:00:00Z,110,129678
2019-03-24T00:00:00Z,C NEGRA,26522
2019-03-24T00:00:00Z,128,75107
2019-03-24T00:00:00Z,145,84403
2019-03-24T00:00:00Z,146,88718
2019-03-24T00:00:00Z,142,145158
2019-03-24T00:00:00Z,144,50525
2019-03-24T00:00:00Z,102,75253
2019-03-24T00:00:00Z,101,57717
2019-03-24T00:00:00Z,130,46092
2019-03-24T00:00:00Z,129,37527
2019-03-24T00:00:00Z,EXPRESO,108558
2019-03-24T00:00:00Z,RINCÓN,102244
2019-03-24T00:00:00Z,35/9 V,114636
2019-03-24T00:00:00Z,VILLA CONS,4627
2019-03-24T00:00:00Z,FABRICA,224
2019-03-24T00:00:00Z,C ROJA,802
2019-03-31T00:00:00Z,107,137474
2019-03-31T00:00:00Z,315,126580
2019-03-31T00:00:00Z,440,610719
2019-03-31T00:00:00Z,740,206378
2019-03-31T00:00:00Z,PILAR 203,350015
2019-03-31T00:00:00Z,CN33/9,20202
2019-03-31T00:00:00Z,EXPRESO,102302
2019-03-31T00:00:00Z,CP25 A,28087
2019-03-31T00:00:00Z,C AZUL,20054
2019-03-31T00:00:00Z,35/9,84203
2019-03-31T00:00:00Z,LINEA A,78998
2019-03-31T00:00:00Z,CP33/9,49992
2019-03-31T00:00:00Z,MORENO 203,486984
2019-03-31T00:00:00Z,103,120160
2019-03-31T00:00:00Z,143,96044
2019-03-31T00:00:00Z,125,28642
2019-03-31T00:00:00Z,41,259952
2019-03-31T00:00:00Z,110,118556
2019-03-31T00:00:00Z,C NEGRA,25037
2019-03-31T00:00:00Z,128,69199
2019-03-31T00:00:00Z,145,78267
2019-03-31T00:00:00Z,146,83260
2019-03-31T00:00:00Z,142,130304
2019-03-31T00:00:00Z,144,48215
2019-03-31T00:00:00Z,102,72549
2019-03-31T00:00:00Z,101,55835
2019-03-31T00:00:00Z,130,41737
2019-03-31T00:00:00Z,129,32692
2019-03-31T00:00:00Z,RINCÓN,95037
2019-03-31T00:00:00Z,35/9 V,100786
2019-03-31T00:00:00Z,VILLA CONS,3799
2019-03-31T00:00:00Z,FABRICA,236
2019-03-31T00:00:00Z,C ROJA,518
2019-04-07T00:00:00Z,107,172431
2019-04-07T00:00:00Z,315,142843
2019-04-07T00:00:00Z,440,715918
2019-04-07T00:00:00Z,740,245861
2019-04-07T00:00:00Z,PILAR 203,381802
2019-04-07T00:00:00Z,CN33/9,22885
2019-04-07T00:00:00Z,EXPRESO,126006
2019-04-07T00:00:00Z,CP25 A,35086
2019-04-07T00:00:00Z,C AZUL,25911
2019-04-07T00:00:00Z,35/9,106384
2019-04-07T00:00:00Z,LINEA A,92513
2019-04-07T00:00:00Z,CP33/9,61392
2019-04-07T00:00:00Z,MORENO 203,536711
2019-04-07T00:00:00Z,103,151931
2019-04-07T00:00:00Z,143,120150
2019-04-07T00:00:00Z,125,39473
2019-04-07T00:00:00Z,41,301096
2019-04-07T00:00:00Z,110,153415
2019-04-07T00:00:00Z,C NEGRA,31769
2019-04-07T00:00:00Z,128,88548
2019-04-07T00:00:00Z,145,102901
2019-04-07T00:00:00Z,146,104578
2019-04-07T00:00:00Z,142,166791
2019-04-07T00:00:00Z,144,60861
2019-04-07T00:00:00Z,102,93084
2019-04-07T00:00:00Z,101,74318
2019-04-07T00:00:00Z,130,53412
2019-04-07T00:00:00Z,129,43572
2019-04-07T00:00:00Z,RINCÓN,118991
2019-04-07T00:00:00Z,35/9 V,130593
2019-04-07T00:00:00Z,VILLA CONS,5876
2019-04-07T00:00:00Z,FABRICA,405
2019-04-07T00:00:00Z,C ROJA,1068
2019-04-14T00:00:00Z,107,134236
2019-04-14T00:00:00Z,315,127184
2019-04-14T00:00:00Z,440,576546
2019-04-14T00:00:00Z,740,189781
2019-04-14T00:00:00Z,PILAR 203,328630
2019-04-14T00:00:00Z,CN33/9,20446
2019-04-14T00:00:00Z,EXPRESO,98596
2019-04-14T00:00:00Z,CP25 A,24855
2019-04-14T00:00:00Z,C AZUL,18983
2019-04-14T00:00:00Z,35/9,78253
2019-04-14T00:00:00Z,LINEA A,76571
2019-04-14T00:00:00Z,CP33/9,47391
2019-04-14T00:00:00Z,MORENO 203,460604
2019-04-14T00:00:00Z,103,115157
2019-04-14T00:00:00Z,143,91654
2019-04-14T00:00:00Z,125,26809
2019-04-14T00:00:00Z,41,236868
2019-04-14T00:00:00Z,110,113826
2019-04-14T00:00:00Z,C NEGRA,23580
2019-04-14T00:00:00Z,128,65482
2019-04-14T00:00:00Z,145,74294
2019-04-14T00:00:00Z,146,79139
2019-04-14T00:00:00Z,142,125175
2019-04-14T00:00:00Z,144,41724
2019-04-14T00:00:00Z,102,64509
2019-04-14T00:00:00Z,101,51519
2019-04-14T00:00:00Z,130,38393
2019-04-14T00:00:00Z,129,31240
2019-04-14T00:00:00Z,RINCÓN,90419
2019-04-14T00:00:00Z,35/9 V,91921
2019-04-14T00:00:00Z,VILLA CONS,3587
2019-04-14T00:00:00Z,FABRICA,234
2019-04-14T00:00:00Z,C ROJA,602
2019-04-21T00:00:00Z,107,159105
2019-04-21T00:00:00Z,315,143329
2019-04-21T00:00:00Z,440,650888
2019-04-21T00:00:00Z,740,220370
2019-04-21T00:00:00Z,PILAR 203,363649
2019-04-21T00:00:00Z,CN33/9,21449
2019-04-21T00:00:00Z,EXPRESO,113143
2019-04-21T00:00:00Z,CP25 A,31524
2019-04-21T00:00:00Z,C AZUL,21928
2019-04-21T00:00:00Z,35/9,94475
2019-04-21T00:00:00Z,LINEA A,82172
2019-04-21T00:00:00Z,CP33/9,54418
2019-04-21T00:00:00Z,MORENO 203,499512
2019-04-21T00:00:00Z,103,137204
2019-04-21T00:00:00Z,143,108209
2019-04-21T00:00:00Z,125,33700
2019-04-21T00:00:00Z,41,281694
2019-04-21T00:00:00Z,110,135228
2019-04-21T00:00:00Z,C NEGRA,26540
2019-04-21T00:00:00Z,128,79186
2019-04-21T00:00:00Z,145,90096
2019-04-21T00:00:00Z,146,94026
2019-04-21T00:00:00Z,142,148851
2019-04-21T00:00:00Z,144,53638
2019-04-21T00:00:00Z,102,79190
2019-04-21T00:00:00Z,101,63273
2019-04-21T00:00:00Z,130,48622
2019-04-21T00:00:00Z,129,37442
2019-04-21T00:00:00Z,RINCÓN,98131
2019-04-21T00:00:00Z,35/9 V,112028
2019-04-21T00:00:00Z,VILLA CONS,5380
2019-04-21T00:00:00Z,FABRICA,288
2019-04-21T00:00:00Z,C ROJA,666
2019-04-28T00:00:00Z,107,125009
2019-04-28T00:00:00Z,315,122288
2019-04-28T00:00:00Z,440,521878
2019-04-28T00:00:00Z,740,175029
2019-04-28T00:00:00Z,PILAR 203,295056
2019-04-28T00:00:00Z,CN33/9,18494
2019-04-28T00:00:00Z,EXPRESO,87889
2019-04-28T00:00:00Z,CP25 A,25068
2019-04-28T00:00:00Z,C AZUL,18605
2019-04-28T00:00:00Z,35/9,73253
2019-04-28T00:00:00Z,LINEA A,68356
2019-04-28T00:00:00Z,CP33/9,44141
2019-04-28T00:00:00Z,MORENO 203,406953
2019-04-28T00:00:00Z,103,108214
2019-04-28T00:00:00Z,143,84672
2019-04-28T00:00:00Z,125,26156
2019-04-28T00:00:00Z,41,230387
2019-04-28T00:00:00Z,110,106030
2019-04-28T00:00:00Z,C NEGRA,23288
2019-04-28T00:00:00Z,128,61763
2019-04-28T00:00:00Z,145,71668
2019-04-28T00:00:00Z,146,74517
2019-04-28T00:00:00Z,142,114047
2019-04-28T00:00:00Z,144,40008
2019-04-28T00:00:00Z,102,63086
2019-04-28T00:00:00Z,101,48046
2019-04-28T00:00:00Z,130,37370
2019-04-28T00:00:00Z,129,29842
2019-04-28T00:00:00Z,RINCÓN,87974
2019-04-28T00:00:00Z,35/9 V,86722
2019-04-28T00:00:00Z,VILLA CONS,3690
2019-04-28T00:00:00Z,FABRICA,376
2019-04-28T00:00:00Z,C ROJA,591
2019-05-05T00:00:00Z,107,169444
2019-05-05T00:00:00Z,315,151113
2019-05-05T00:00:00Z,440,691940
2019-05-05T00:00:00Z,740,231670
2019-05-05T00:00:00Z,PILAR 203,374112
2019-05-05T00:00:00Z,CN33/9,22168
2019-05-05T00:00:00Z,EXPRESO,122461
2019-05-05T00:00:00Z,CP25 A,34957
2019-05-05T00:00:00Z,C AZUL,24926
