Semana,Linea,KM
2022-08-14T00:00:00Z,L339,68946.906
2020-08-09T00:00:00Z,203I,191365.07
2022-09-25T00:00:00Z,L339,72465.634
2022-10-30T00:00:00Z,203M,235084.74
2023-10-15T00:00:00Z,L339,61924.045
2022-05-29T00:00:00Z,L339,74528.5849999999
2022-09-11T00:00:00Z,L339,72927.963
2022-05-22T00:00:00Z,L339,70562.512
2021-12-12T00:00:00Z,LINA,152385.084
2020-03-29T00:00:00Z,203I,134921.1
2022-10-16T00:00:00Z,LINA,157925.381
2022-03-20T00:00:00Z,L339,70983.665
2022-04-03T00:00:00Z,L339,69933.895
2022-03-27T00:00:00Z,LINA,143811.412
2020-07-26T00:00:00Z,203M,172183.63
2019-05-05T00:00:00Z,359V,87590.322
2022-09-11T00:00:00Z,LINA,157101.449
2019-06-16T00:00:00Z,359V,67330.073
2020-01-12T00:00:00Z,LINA,144291.422
2019-04-28T00:00:00Z,LMAV,43663.44
2019-08-04T00:00:00Z,203M,229842.65
2019-06-02T00:00:00Z,L130,18786.731
2019-05-05T00:00:00Z,LMAV,58854.524
2022-04-24T00:00:00Z,LINA,137081.039
2019-04-07T00:00:00Z,359V,91830.4420000001
2019-06-02T00:00:00Z,359V,87308.9890000001
2020-03-08T00:00:00Z,L339,93800.7100000001
2022-10-09T00:00:00Z,LINA,95249.217
2021-10-24T00:00:00Z,LINA,150481.86
2019-03-10T00:00:00Z,359V,92437.81
2022-06-12T00:00:00Z,LINA,140997.238
2020-11-01T00:00:00Z,203I,198398.8
2022-09-18T00:00:00Z,LINA,154332.371
2019-05-12T00:00:00Z,203M,192212.225
2022-04-10T00:00:00Z,L339,63912.434
2022-04-17T00:00:00Z,LINA,151885.143
2022-08-07T00:00:00Z,LINA,155142.683
2020-11-22T00:00:00Z,203I,203943.6
2019-03-31T00:00:00Z,LMAV,52166.75
2022-05-22T00:00:00Z,LINA,139431.133
2019-03-31T00:00:00Z,359V,80483.127
2019-03-24T00:00:00Z,LMAV,55259.088
2022-10-23T00:00:00Z,LINA,157731.747
2022-02-27T00:00:00Z,LINA,123687.928
2022-03-13T00:00:00Z,LINA,151532.264
2019-08-11T00:00:00Z,L339,97393.015
2022-06-26T00:00:00Z,LINA,152236.952
2019-01-06T00:00:00Z,203I,188878.78
2021-11-07T00:00:00Z,LINA,152507.853
2022-03-06T00:00:00Z,LINA,151451.962
2022-09-04T00:00:00Z,LINA,150109.262
2022-06-05T00:00:00Z,LINA,151710.882
2023-05-14T00:00:00Z,LMAV,44115.67
2022-08-14T00:00:00Z,LINA,143812.548
2021-11-21T00:00:00Z,LINA,138833.335
2022-05-15T00:00:00Z,LINA,116182.029
2019-01-13T00:00:00Z,LMAV,51409.499
2019-05-19T00:00:00Z,359V,80186.794
2019-09-22T00:00:00Z,L339,98485.135
2022-08-28T00:00:00Z,LINA,146567.284
2021-12-05T00:00:00Z,LINA,140499.901
2022-09-04T00:00:00Z,203M,235273.24
2022-09-25T00:00:00Z,LINA,153667.374
2019-04-07T00:00:00Z,LMAV,56008.686
2019-08-18T00:00:00Z,L339,93063.8880000001
2022-10-30T00:00:00Z,LINA,156418.254
2019-05-26T00:00:00Z,359V,72981.836
2022-11-06T00:00:00Z,LINA,158233.175
2020-06-28T00:00:00Z,203I,200806.74
2019-07-28T00:00:00Z,L130,20011.492
2019-11-17T00:00:00Z,L339,77533.3909999999
2019-08-25T00:00:00Z,L339,97925.678
2020-06-07T00:00:00Z,203I,185337.39
2019-11-03T00:00:00Z,L339,83040.148
2023-03-05T00:00:00Z,L107,42159.922
2019-06-23T00:00:00Z,359V,85434.5770000001
2019-06-23T00:00:00Z,L339,102231.948
2020-03-01T00:00:00Z,L339,92041.63
2022-06-19T00:00:00Z,LINA,135580.806
2019-07-28T00:00:00Z,359V,87421.716
2019-09-08T00:00:00Z,LEXP,110143.732
2019-06-09T00:00:00Z,359V,87001.9989999999
2022-02-20T00:00:00Z,203I,209762.19
2022-07-03T00:00:00Z,203I,235990.93
2019-01-20T00:00:00Z,203I,185554.64
2019-01-13T00:00:00Z,203M,150828.158
2021-10-31T00:00:00Z,LEXP,90718.056
2020-09-27T00:00:00Z,203I,199047.48
2020-12-27T00:00:00Z,203M,164317.24
2020-05-17T00:00:00Z,203I,202455.83
2023-05-14T00:00:00Z,L110,55831.801
2022-01-30T00:00:00Z,203I,189743.06
2019-02-24T00:00:00Z,203I,188577.95
2019-10-20T00:00:00Z,LMAV,51359.916
2023-04-02T00:00:00Z,LEXP,81861.008
2019-09-29T00:00:00Z,LIGM,17104.056
2022-01-16T00:00:00Z,LINA,116129.182
2022-01-30T00:00:00Z,LINA,115031.426
2021-08-15T00:00:00Z,L339,51423.907
2022-07-17T00:00:00Z,LINA,127097.417
2021-02-21T00:00:00Z,203I,202239.04
2019-09-29T00:00:00Z,L359,58461.171
2023-06-25T00:00:00Z,203I,211452.7
2018-12-30T00:00:00Z,LEXP,65269.434
2019-03-31T00:00:00Z,LEXP,112227.65
2019-12-08T00:00:00Z,203I,232400.660000001
2023-04-16T00:00:00Z,LIGM,24938.653
2021-08-29T00:00:00Z,L339,60059.066
2022-02-06T00:00:00Z,LINA,112569.55
2019-03-17T00:00:00Z,L339,102851.231
2019-05-19T00:00:00Z,203M,182923.72
2021-10-17T00:00:00Z,N339,26017.53
2019-01-27T00:00:00Z,LINA,149552.281
2019-02-24T00:00:00Z,LINA,149610.168
2020-04-05T00:00:00Z,203M,138533.11
2023-08-27T00:00:00Z,L339,69276.197
2019-08-18T00:00:00Z,203I,224820.63
2019-03-24T00:00:00Z,L339,105289.95
2023-04-02T00:00:00Z,N339,31403.529
2020-08-02T00:00:00Z,203M,180949.24
2020-11-01T00:00:00Z,LIGM,23051.154
2021-09-19T00:00:00Z,L339,64924.895
2019-07-21T00:00:00Z,203I,226981.6
2023-08-06T00:00:00Z,LINA,154591.353
2023-09-24T00:00:00Z,203I,231451.18
2019-07-07T00:00:00Z,359V,66758.916
2019-09-15T00:00:00Z,LMAV,50449.28
2020-08-23T00:00:00Z,203M,184731.1
2019-12-29T00:00:00Z,L339,75133.973
2018-12-30T00:00:00Z,203I,110193.001
2023-09-17T00:00:00Z,203I,234145.39
2019-07-14T00:00:00Z,L359,65967.019
2019-04-14T00:00:00Z,L339,94007.8579999999
2019-07-28T00:00:00Z,LEXP,119597.894
2023-07-30T00:00:00Z,LINA,153470.356
2019-04-21T00:00:00Z,203M,189707.5
2019-02-03T00:00:00Z,359V,85789.568
2021-08-22T00:00:00Z,N339,29991.28
2020-06-28T00:00:00Z,203M,194210.17
2021-10-17T00:00:00Z,LEXP,79044.2910000001
