Fecha,Linea,LTS,KM,Consumo
2019-05-10,L102,3089.37,8460.486,36.5152782003303
2019-04-26,L102,2758.16,6879.196,40.0942203129552
2019-04-25,L102,2916.01,8080.258,36.08808035585
2019-04-08,L142,5592.21,13904.281,40.2193396407912
2019-04-04,L146,2408.52,5737.305,41.9799888623666
2019-03-30,L102,1289.11,3889.943,33.139560142655
2019-03-22,L102,3007.13,7565.166,39.7496895639831
2019-03-12,L102,2392.14,6331.667,37.7805718462452
2019-03-08,L102,2472.64,9086.595,27.2119534325014
2019-03-06,L102,2032.58,7493.804,27.1234742728793
2019-03-01,L102,1457.79,5031.582,28.9727962298935
2019-02-28,L102,1700.16,5156.12,32.97363133519
2019-02-27,L102,1594.71,4461.79,35.7414849197295
2019-02-26,L102,1854.68,4991.518,37.1566325113923
2019-02-22,L102,956.78,2964.84,32.2708813966352
2019-02-11,L102,2297.5,7367.06,31.1861176643057
2019-02-09,L102,933.78,2294.835,40.6905071606455
2019-02-06,L102,1789.48,5295.551,33.7921398547573
2019-02-05,L102,1758.39,5103.367,34.455487916115
2019-02-04,L102,1947.72,5913.68,32.9358369069683
2019-02-02,L102,1202.09,3008.854,39.9517557182901
2019-02-01,L102,1203.21,3060.357,39.3160013684678
2019-01-28,L146,2046.6,5199.78,39.3593575112793
2019-01-27,L146,2320.88,6744.925,34.4092780868579
2019-07-10,L146,1992.07,6256.332,31.8408613865121
2019-06-17,L146,977.6,2845.689,34.3537189060365
2019-05-13,L107,4573.68,12354.848,37.0193141995757
2019-04-23,L107,5233.38,13214.886,39.6021577484664
2019-04-22,L146,2807.71,8279.239,33.912657914574
2019-04-18,L146,1755.09,4830.149,36.3361461520131
2019-04-16,L146,2705.34,7649.101,35.36807789569
2019-04-13,L107,3381.16,8627.916,39.1886059159593
2019-04-10,L107,3593.64,8649.974,41.5450959736989
2019-04-09,L107,5219.1,12433.904,41.9747490410092
2019-04-05,L107,5599.38,13445.951,41.6436144977771
2019-04-03,L107,4782.55,12558.635,38.0817660518042
2019-04-01,L107,4959.41,12243.418,40.5067441134494
2019-03-29,L107,4937.78,12750.235,38.7269724832523
2019-03-26,L107,4339.47,12020.503,36.1005691691937
2019-03-20,L107,5403.15,14104.258,38.3086440988246
2019-03-19,L107,3814.71,10347.596,36.8656642567027
2019-03-18,L102,1754.6,5445.363,32.2219106421372
2019-03-14,L107,5679.4,14824.101,38.3119354084271
2019-03-11,L107,3935.29,11823.96,33.2823351905791
2019-03-08,L107,4747.36,12069.069,39.334931302489
2019-03-07,L107,5027.98,12285.778,40.9252063646275
2019-03-06,L107,5606.29,15269.863,36.7147367333944
2019-07-17,L102,2345.83,7239.425,32.4035403364217
