Fecha,Linea,LTS
2022-04-27,L145/133,8524.33
2022-04-26,L145/133,1256.51
2022-04-25,L145/133,4054.03
2022-04-22,L145/133,3946.77
2022-04-21,L145/133,4087.68
2022-04-20,L133/125,2890.93
2022-04-19,L133/125,2948.19
2022-04-18,L133/125,2773.8
2022-04-17,L133/125,1184.22
2022-04-16,L133/125,1664.98
2022-04-13,L133/125,2709.74
2022-04-12,L133/125,2875.41
2022-04-11,L102/144,1912.51
2022-04-10,L133/125,1267.93
2022-04-09,L133/125,1875.48
2022-04-08,L133/125,2610.56
2022-04-07,L133/125,2738.83
2022-04-06,L133/125,2591.74
2022-04-05,L133/125,2760.49
2022-04-04,L133/125,2675.51
2022-04-03,L133/125,1229.93
2022-04-01,L133/125,2649.8
2022-03-31,L133/125,2576.24
2022-03-30,L133/125,2795.06
2022-03-29,L133/125,2737.59
2022-03-28,L133/125,3205.15
2022-03-26,L133/125,1802.01
2022-03-25,L128,2001.68
2022-03-24,L145/133,1569.08
2022-03-21,L145/133,4010.21
2022-03-17,L145/133,5109.44
2022-03-15,L145/133,4330.91
2022-03-14,L145/133,4528.15
2022-03-11,L145/133,4566.75
2022-03-10,L145/133,4520.51
2022-03-09,L143/136/137,3368.94
2022-03-08,L128,2168.97
2022-03-07,L128,2127.64
2022-03-04,L128,1997.22
2022-03-03,L128,1970.6
2022-03-02,L143/136/137,3808.82
2022-02-28,L143/136/137,1400.63
2022-02-23,L133/125,2147.71
2022-02-19,L133/125,1823.03
2022-02-14,L133/125,2492.06
2022-01-17,L143/136/137,2263.33
2022-01-15,L143/136/137,1943.91
2022-01-12,L143/136/137,2394.2
2021-12-23,L143/136/137,3282.12
2021-12-22,L133/125,2957.15
2021-12-21,L133/125,3073.75
2021-12-20,L143/136/137,3576.01
2021-12-17,L143/136/137,3023.8
2021-12-16,L143/136/137,3447.75
2021-12-15,L143/136/137,3227.69
2021-12-14,L143/136/137,3245.61
2021-12-13,L143/136/137,3328.24
2021-12-11,L133/125,1885.51
2021-12-10,L133/125,2672.25
2021-12-09,L133/125,2786.4
2021-12-08,L133/125,1376.8
2021-12-07,L133/125,2745.33
2021-12-06,L133/125,3028.24
2021-12-04,L133/125,1750.09
2021-12-03,L133/125,2721.99
2021-11-26,L133/125,1338.64
2021-11-24,L102/144,2054.61
2021-11-23,L102/144,3236.16
2021-11-20,L102/144,874.98
2021-11-19,L102/144,2005.11
2021-11-18,L102/144,2038.43
2021-11-17,L102/144,1864.92
2021-11-16,L102/144,2124.13
2021-11-15,L133/125,2522.51
2021-11-13,L133/125,1869.47
2021-11-12,L133/125,2710.29
2021-11-11,L133/125,2752.11
2021-11-10,L133/125,2713.04
2021-11-09,L133/125,2801.46
2021-11-08,L133/125,2875.15
2021-11-06,L133/125,1711.45
2021-11-05,L133/125,2587.04
2021-11-04,L133/125,2889.57
2021-11-03,L133/125,2527.65
2021-11-02,L133/125,2482.73
2021-11-01,L133/125,2774.16
2021-10-29,L133/125,2596.02
2021-10-28,L103,4618.26
2021-10-27,L103,3843.68
2021-10-25,L143/136/137,4335.92
2021-10-22,L143/136/137,2873.96
