FechaRecaudacion,des_lin,Cantidad_Pasajeros
2019-01-17T00:00:00Z,740,29548
2019-01-17T00:00:00Z,PILAR 203,53561
2019-01-17T00:00:00Z,CN33/9,2303
2019-01-17T00:00:00Z,EXPRESO,16555
2019-01-17T00:00:00Z,CP25 A,4185
2019-01-17T00:00:00Z,C AZUL,2785
2019-01-17T00:00:00Z,35/9,13066
2019-01-17T00:00:00Z,LINEA A,10765
2019-01-17T00:00:00Z,MORENO 203,69288
2019-01-17T00:00:00Z,CP33/9,7089
2019-01-17T00:00:00Z,FABRICA,36
2019-01-17T00:00:00Z,103,18577
2019-01-17T00:00:00Z,143,13818
2019-01-17T00:00:00Z,125,4227
2019-01-17T00:00:00Z,41,38485
2019-01-17T00:00:00Z,110,18418
2019-01-17T00:00:00Z,C NEGRA,3377
2019-01-17T00:00:00Z,128,10115
2019-01-17T00:00:00Z,145,11227
2019-01-17T00:00:00Z,146,12086
2019-01-17T00:00:00Z,142,20052
2019-01-17T00:00:00Z,144,4956
2019-01-17T00:00:00Z,102,9213
2019-01-17T00:00:00Z,101,6611
2019-01-17T00:00:00Z,130,6301
2019-01-17T00:00:00Z,129,4714
2019-01-17T00:00:00Z,C ROJA,65
2019-01-17T00:00:00Z,RINCÓN,13991
2019-01-17T00:00:00Z,35/9 V,18098
2019-01-17T00:00:00Z,VILLA CONS,624
2019-01-18T00:00:00Z,107,20162
2019-01-18T00:00:00Z,315,17449
2019-01-18T00:00:00Z,440,80924
2019-01-18T00:00:00Z,740,30439
2019-01-18T00:00:00Z,PILAR 203,55788
2019-01-18T00:00:00Z,CN33/9,2833
2019-01-18T00:00:00Z,EXPRESO,17597
2019-01-18T00:00:00Z,CP25 A,4434
2019-01-18T00:00:00Z,C AZUL,3064
2019-01-18T00:00:00Z,35/9,13239
2019-01-18T00:00:00Z,LINEA A,12343
2019-01-18T00:00:00Z,MORENO 203,71665
2019-01-18T00:00:00Z,CP33/9,7742
2019-01-18T00:00:00Z,FABRICA,43
2019-01-18T00:00:00Z,103,19185
2019-01-18T00:00:00Z,143,14125
2019-01-18T00:00:00Z,125,4696
2019-01-18T00:00:00Z,41,37686
2019-01-18T00:00:00Z,110,19122
2019-01-18T00:00:00Z,C NEGRA,3657
2019-01-18T00:00:00Z,128,11045
2019-01-18T00:00:00Z,145,12286
2019-01-18T00:00:00Z,146,13057
2019-01-18T00:00:00Z,142,20971
2019-01-18T00:00:00Z,144,4769
2019-01-18T00:00:00Z,102,9604
2019-01-18T00:00:00Z,101,6482
2019-01-18T00:00:00Z,130,6301
2019-01-18T00:00:00Z,129,5054
