Semana,Linea,LTS,KM,Consumo
2023-03-12,L126,6028.45,11817.284,51.0138370204186
2023-03-12,L145/133,25221.75,48993.145,51.4801611531573
2023-03-05,L130,6121.66,12165.205,50.3210591190202
2023-02-26,L130,7863.84,14697.671,53.5039871283008
2023-02-12,L107,19574.06,38303.779,51.102164097177
2023-02-05,L146,13408.61,26275.743,51.0303742885596
2023-01-01,L130/146,14139.75,29820.977,47.4154485280613
2022-12-25,L130/146,14254.87,29785.762,47.8580000739951
2022-12-18,L142,32786.83,66670.2,49.177638585155
2022-12-18,L130/146,16112.2,30991.922,51.9883858768101
2022-12-11,L142,37297.17,75764.996,49.2274427098234
2022-12-11,L103,26858.07,50767.135,52.9044430023479
2022-12-04,L142,31361.99,61400.898,51.0774125811645
2022-11-27,L142,37866.92,75290.434,50.2944637030516
2022-11-27,L145/133,27459.86,52840.415,51.9675328060917
2022-11-20,L143/136/137,17562.73,38239.062,45.9287678133946
2022-11-13,L107,24377.57,48069.208,50.71348377531
2022-11-13,L110,28669.75,58722.831,48.822152324366
2022-11-13,L102/144,12284.32,23690.032,51.8543833119347
2022-11-06,L102/144,11853.21,25032.763,47.3507858481303
2022-11-06,L128,12329.87,24077.529,51.2090339502862
2022-10-30,L102/144,11905.93,24904.258,47.8068047640689
2022-10-30,L143/136/137,19286.07,40911.935,47.1404493578708
2022-10-23,L143/136/137,18914.47,39472.412,47.9182017050289
2022-10-16,L143/136/137,19693.89,42782.003,46.0331181782209
2022-10-16,L145/133,25268.56,54606.46,46.2739390174716
2022-10-09,L145/133,14474.54,31151.415,46.4651124194519
2022-10-09,L122,15470.65,32333.987,47.8464038474439
2022-10-02,L143/136/137,17801.8,37744.137,47.1644112567735
2022-10-02,L107,21119.57,42358.617,49.8589696637168
2022-09-25,L107,23921.49,50090.831,47.7562250863836
2022-09-25,L143/136/137,18929.41,39980.413,47.3467094999745
2022-09-18,L143/136/137,18977.16,42900.802,44.2349772388871
2022-09-18,L142,33113.85,85487.9100000001,38.7351264055935
2022-09-11,L143/136/137,19909.66,42763.755,46.5573240703488
2022-09-11,L103,24241.38,49864.974,48.6140431959315
2022-09-04,L145/133,27070.5,55276.867,48.9725656846652
2022-08-28,L122,24073.81,54764.924,43.9584468335974
2022-08-21,L102/144,11074.16,22957.904,48.2368076807012
2022-08-21,L122,22863.19,58163.737,39.3083236725316
2022-08-21,L126,5231.56,13311.548,39.3009137629974
2022-08-21,L128,11414.58,24744.546,46.1296804556447
2022-07-31,L128,12098.78,25617.001,47.2294941941096
2022-07-31,L145/133,25152.06,54276.197,46.3408665128104
2022-07-24,L145/133,25380.21,54467.206,46.5972313689085
2022-07-24,L128,12282.07,25278.176,48.5876433489505
2022-07-17,L145/133,22407.72,49663.409,45.119174158987
2022-07-10,L145/133,22499.14,49919.775,45.0705957709144
2022-07-03,L145/133,25565.8,56394.287,45.3340247036016
2022-06-26,L145/133,25845.9,54871.693,47.1024285691349
2022-06-19,L145/133,22643.16,48418.706,46.7653142155431
2022-06-12,L145/133,23491.55,49970.38,47.0109492863572
2022-06-05,L145/133,25124.74,54317.966,46.2549352455503
2022-05-29,L145/133,25288.92,53012.016,47.704128060325
2022-05-22,L145/133,22180.53,47540.18,46.6563862400185
2022-05-15,L145/133,18597.38,40642.172,45.7588241100895
2022-05-08,L145/133,26283.56,56121.738,46.8331183898831
2022-05-01,L145/133,25998.48,57720.857,45.0417428833394
2022-04-24,L101,8725.58,19050.176,45.8031463856292
2022-04-10,L130/146,14395.89,32606.535,44.150321400296
2022-04-03,L130/146,18168.61,39442.255,46.0638216552274
2022-03-27,L130/146,17177.78,37200.797,46.175838652059
2022-03-20,L130/146,15603.8,34267.428,45.5353696227216
2022-03-06,L133/125,15909.21,37570.294,42.3451836709077
2022-02-27,L133/125,14049.76,31580.759,44.4883544439195
2022-02-20,L102/144,7869.32,15036.448,52.3349663431151
2021-12-19,L102/144,11944.47,21982.343,54.3366555603286
2021-12-12,L102/144,12583.28,25142.99,50.0468719114155
2021-12-05,L102/144,11388.71,22302.865,51.063887980311
2021-11-28,L102/144,12238.87,29631.643,41.3033796337246
2021-11-21,L145/133,20463.64,42810.639,47.8003610270802
2021-11-14,L145/133,26421.08,56318.875,46.913366078424
2021-10-31,L143/136/137,19391.6,41457.862,46.7742403117653
2021-10-24,L130/146,17947.93,40474.569,44.3437211153502
2021-10-17,L133/125,16657.83,40294.751,41.3399502084031
2021-10-17,L130/146,16237.45,35505.251,45.7325312247476
2021-09-26,L103,21027.65,51385.476,40.9213879813043
2021-09-26,L143/136/137,17682.78,37698.564,46.9057123767367
2021-09-19,L143/136/137,17069.59,36595.035,46.6445516447791
2021-09-12,L143/136/137,18150.92,37896.488,47.8960477815253
2021-09-05,L102/144,12500.84,27490.753,45.4728904661142
2021-08-29,L102/144,11923.38,27023.362,44.1224892742805
2021-08-22,L102/144,8335.65,18031.247,46.2289158370467
2021-08-22,L103,21307.56,45057.577,47.289626781307
2021-07-25,L130/146,15235.81,29201.639,52.1745029448518
2021-07-18,L130/146,12625.1,26250.636,48.0944537877101
2021-07-04,L130/146,12438.11,26030.361,47.783086834639
2021-05-02,L145/133,20702.99,49393.082,41.9147564025262
2021-04-25,L128,11497.63,25324.522,45.4011728237161
2021-04-25,L130/146,15944.41,35477.663,44.9421090673306
2021-04-18,L130/146,16269.01,37167.043,43.7726778533337
2021-04-11,L130/146,16404.38,36974.365,44.366901230082
2021-04-04,L130/146,16635.7,36324.572,45.7973737446927
2021-03-28,L130/146,14513.94,33395.275,43.4610584880646
2021-03-21,L143/136/137,17781.63,40500.598,43.9046109887069
2021-03-21,L103,19731.48,43791.596,45.0576864108812
2021-03-14,L102/144,10895.43,25483.137,42.7554503984341
2021-03-07,L102/144,11906.23,26889.401,44.27852446397
2021-03-07,L130/146,17287.78,35250.61,49.0424988390272
2021-02-28,L102/144,12105.27,26895.52,45.0084995568035
2021-02-28,L130/146,17196.83,33890.809,50.7418692778918
2021-02-21,L130/146,17734.95,35760.411,49.5938091986695
2021-02-14,L102/144,7891.56,17317.344,45.5702675883785
2021-02-07,L102/144,7894.54,19743.422,39.9856721899577
2021-02-07,L125,14.57,323.771,4.50009420238378
2020-12-20,L125,4430.73,10952.167,40.4552815894791
2020-10-18,L125,3886.17,9063.876,42.875365903064
2020-10-11,L125,2991.37,8234.865,36.3256713983775
2020-10-04,L125,2795.72,5966.174,46.8595116401231
2020-09-20,L125,1906.4,6197.569,30.7604481692741
2020-09-13,L125,2723.83,7675.933,35.4853279725084
2020-08-09,L125,4330.24,11732.285,36.9087522166398
2020-08-02,L125,4530.6,11525.081,39.310786622671
2020-07-26,L125,1209.98,5161.212,23.4437182584246
2020-06-28,L125,2449.9,7359.011,33.2911582820028
2020-06-21,L125,3673.01,9334.881,39.347153970147
2020-06-14,L125,3586.36,9647.394,37.1743913434032
2020-06-07,L125,3168.9,8191.86,38.6835224234789
2020-05-31,L125,1672.72,4753.037,35.1926568213124
2020-05-03,L125,2763.89,7221.053,38.2754426535853
2020-03-15,L125,6428.73,17174.834,37.4311041376004
2020-03-08,L125,8997.11,18159.637,49.5445476140299
2020-03-01,L125,9099.02,17947.495,50.6979943440575
2020-02-23,L125,6213.57,12695.409,48.9434408926881
2020-02-09,L125,7605.18,14568.969,52.2012230240863
2020-02-02,L125,7154.06,14783.973,48.3906457350808
2020-01-26,L125,6909.62,14116.822,48.9460021526091
2020-01-19,L125,7530.73,13737.869,54.8173082739397
2020-01-12,L125,7062.44,16192.323,43.6159777692181
2020-01-05,L125,7797.65,14951.677,52.1523438474494
2019-12-29,L125,6124.69,12256.6,49.9705464810796
2019-12-22,L125,6094.58,12775.396,47.7056053683189
2019-12-15,L125,7937.85,15321.654,51.8080489221334
2019-12-08,L125,9572.32,19037.206,50.2821685072904
2019-12-01,L125,8774.79,17855.749,49.1426598794596
2019-11-24,L125,8908.66,18840.335,47.2850403137736
2019-11-17,L125,9097.31,18020.666,50.4826514180996
